都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,経度,緯度,,2400分割,3600分割,,480分割,720分割
空知,15451,雨,鹿島,ｶｼﾏ,夕張市鹿島富士見町,43,4.8,142,6,310,－,－,昭58.8.2,－,－,142.1,43.08,,1768,2769,,353,553
空知,15491,雨,沼の沢,ﾇﾏﾉｻﾜ,夕張市沼ノ沢,42,57.6,142,1.2,161,－,－,昭58.8.2,－,－,142.02,42.96,,1761,2755,,352,551
後志,16026,四,美国,ﾋﾞｸﾆ,積丹郡積丹町美国町船澗,43,16.3,140,33.8,75,10,1.5,#昭52.10.25,－,－,140.5633333,43.27166667,,1645,2792,,329,558
後志,16061,四,神恵内,ｶﾓｴﾅｲ,古宇郡神恵内村神恵内村,43,8.7,140,25.4,50,10,1.5,昭52.10.24,－,－,140.4233333,43.145,,1633,2777,,326,555
後志,16076,四,余市,ﾖｲﾁ,余市郡余市町豊丘町,43,10.9,140,45.5,20,10,1.5,#昭52.10.31,16905,－,140.7583333,43.18166667,,1660,2781,,332,556
後志,16091,官,小樽,ｵﾀﾙ,小樽市勝納町　小樽特別地域気象観測所,43,10.9,141,0.9,25,13.6,－,#昭50.12.23,16903,－,141.015,43.18166667,,1681,2781,,336,556
後志,16126,雨,赤井川,ｱｶｲｶﾞﾜ,余市郡赤井川村赤井川,43,5,140,49.2,148,－,－,昭51.5.12,16900,－,140.82,43.08333333,,1665,2770,,333,554
後志,16156,四,共和,ｷｮｳﾜ,岩内郡共和町南幌似,42,58.8,140,36.2,15,10,1.5,#昭52.10.24,16910,－,140.6033333,42.98,,1648,2757,,329,551
後志,16206,四,蘭越,ﾗﾝｺｼ,磯谷郡蘭越町蘭越,42,48.6,140,32.5,39,8,1.5,#昭52.10.20,16915,－,140.5416667,42.81,,1643,2737,,328,547
後志,16217,官,倶知安,ｸｯﾁｬﾝ,虻田郡倶知安町南1条東　倶知安特別地域気象観測所,42,54,140,45.4,176,30.8,－,平3.8.28,16917,－,140.7566667,42.9,,1660,2748,,332,549
後志,16252,官,寿都,ｽｯﾂ,寿都郡寿都町新栄町　寿都特別地域気象観測所,42,47.7,140,13.4,33,17.6,－,平元.9.22,16918,－,140.2233333,42.795,,1617,2735,,323,547
後志,16272,雨,ニセコ,ﾆｾｺ,虻田郡ニセコ町宮田,42,46.7,140,40,113,－,－,平22.3.11,－,－,140.6666667,42.77833333,,1653,2733,,330,546
後志,16281,四,真狩,ﾏｯｶﾘ,虻田郡真狩村美原,42,46.5,140,52.8,440,10,3.3,(昭50.7.1)昭53.10.27,－,－,140.88,42.775,,1670,2733,,334,546
後志,16286,四,喜茂別,ｷﾓﾍﾞﾂ,虻田郡喜茂別町伏見,42,47.6,140,56.9,264,10,2.9,#昭52.10.21,16920,－,140.9483333,42.79333333,,1675,2735,,335,547
後志,16321,四,黒松内,ｸﾛﾏﾂﾅｲ,寿都郡黒松内町黒松内,42,39.8,140,18.6,27,10,1.5,#昭52.10.20,16925,－,140.31,42.66333333,,1624,2719,,324,543
ｵﾎｰﾂｸ,17036,官,雄武,ｵｳﾑ,紋別郡雄武町雄武　雄武特別地域気象観測所,44,34.8,142,57.8,14,16.6,－,#昭50.12.1,17903,－,142.9633333,44.58,,1837,2949,,367,589
ｵﾎｰﾂｸ,17076,四,興部,ｵｺｯﾍﾟ,紋別郡興部町興部,44,28.2,143,6.5,8,10,2.5,#昭52.10.28,－,－,143.1083333,44.47,,1848,2936,,369,587
ｵﾎｰﾂｸ,17091,四,西興部,ﾆｼｵｺｯﾍﾟ,紋別郡西興部村西興部,44,19.9,142,56.1,120,8,2.5,(昭50.7.1)昭52.10.28,17900,－,142.935,44.33166667,,1834,2919,,366,583
ｵﾎｰﾂｸ,17112,官,紋別,ﾓﾝﾍﾞﾂ,紋別市南が丘町　紋別特別地域気象観測所,44,20.7,143,21.3,16,13.6,－,昭58.1.1,17904,－,143.355,44.345,,1868,2921,,373,584
ｵﾎｰﾂｸ,17116,官,紋別小向,ﾓﾝﾍﾞﾂｺﾑｶｲ,紋別市小向　紋別航空気象観測所,44,18.2,143,24.2,18,10.4,－,平15.1.1,17960,日照を除く,143.4033333,44.30333333,,1872,2916,,374,583
ｵﾎｰﾂｸ,17166,四,湧別,ﾕｳﾍﾞﾂ,紋別郡湧別町東,44,12.8,143,37.1,5,9.4,2.5,#昭52.10.26,－,－,143.6183333,44.21333333,,1889,2905,,377,581
